artist,wholefestival_url,wholefestival_description,soundcloud_url,soundcloud_urls,wholefestival_links,soundcloud_canonical_url,soundcloud_followers,soundcloud_description,soundcloud_avatar_url,genres,scrape_status,scraped_at
2THEMAX,https://www.wholefestival.com/lineup,"2THEMAX is a DJ and one of the founders of Korgy, a collective at the heart of Helsinki’s growing queer club scene. Inspired by dancefloors and queer nightlife across Europe, his approach to DJing is all about freedom, self-expression, and keeping it FUN. His sets blend high-energy techno, euphoric trance, and thick progressive house, with a focus on mood & movement. Never tied to one sound, 2THEMAX follows the energy of the room—open, playful, and always surprising. Recent gigs outside of Finland have included DAS in Copenhagen KitKat Club & RSO in Berlin with the Korgy crew for Gegen and PRNCPTL, and London’s FOLD for Boudica. Through his work with Korgy, he’s helping shape a new wave of inclusive nightlife in Finland, building spaces where music, identity, and joy come together. Photographer: Tatu Rouvinen",https://soundcloud.com/2themax_korgy,https://soundcloud.com/2themax_korgy,https://www.instagram.com/maxfeinik/;https://soundcloud.com/2themax_korgy,https://soundcloud.com/2themax_korgy,59,"2THEMAX is a DJ and one of the founders of Korgy, a collective at the heart of Helsinki’s growing queer club scene. Inspired by dancefloors and queer nightlife across Europe, his approach to DJing is all about freedom, self-expression, and keeping it FUN.

His sets blend high-energy techno, euphoric trance, and thick progressive house, with a focus on mood & movement. Never tied to one sound, 2THEMAX follows the energy of the room—open, playful, and always surprising.

Through his work with Korgy, he’s helping shape a new wave of inclusive nightlife in Finland, building spaces where music, identity, and joy come together.",https://i1.sndcdn.com/avatars-I8UA1z7cYYnSXWQX-ksZKNA-large.jpg,techno; house; trance,ok,2026-07-11T09:17:17+00:00
3RODA FULL BASS,https://www.wholefestival.com/lineup,"3RODA FULL BASS is an Indonesian DJ trio who serves up a delirious mix of a messy, joyful mix of Indonesian club sounds like funkot, bass beton, Indo Bounce, and jungle dutch. Named after silly tracks about mosquitos, pests and general chaos, 3RODA FULL BASS is here to turn up the heat, get the floor bouncing, and keep the night itching to dance.",,,https://www.instagram.com/insan_larasati/;https://www.instagram.com/madeofchina__/;https://www.instagram.com/schatztiger/,,,,,jungle; bass,no_soundcloud_link,2026-07-11T09:17:17+00:00
999,https://www.wholefestival.com/lineup,$1f Photographer: valencuesta,https://soundcloud.com/n4in9n4in,https://soundcloud.com/n4in9n4in,https://www.instagram.com/999ciclo_respaldo?igsh=MXY5bzJsd3h4cDdpdw==;https://www.tiktok.com/@999.ciclo;https://soundcloud.com/n4in9n4in,https://soundcloud.com/n4in9n4in,723,"N4IN9N4IN Is an Argentinian 
label curated by Valentina Spirito focused on the real nasty trance vibes and techno grooves <3",https://i1.sndcdn.com/avatars-jhg5enlAcyEspzmC-ZjE8tA-large.jpg,,ok,2026-07-11T09:17:17+00:00
aantz,https://www.wholefestival.com/lineup,"aantz is the artist personality of Argentina born, Berlin based composer, live performer & multihuman Emme Moises. As a curator of experiences in this dimension, aantz performs live in sync with her machines. Her live sets evolve around the frontiers of ambient & experimental polybeats, with a focus on minimalism and dashes of deep sci-fi soundscapes.\n\nPhoto by Gabriel Strobel",https://soundcloud.com/aantz08,https://soundcloud.com/aantz08,https://aantz.bandcamp.com;https://soundcloud.com/aantz08;https://www.instagram.com/emme___aantz/,https://soundcloud.com/aantz08,272,curating experiences in this dimension,https://i1.sndcdn.com/avatars-yZYEOkudvFyyJaNx-zpy4yg-large.jpg,ambient; experimental,ok,2026-07-11T09:17:17+00:00
AARO,https://www.wholefestival.com/lineup,"Born in Egypt and based in Germany, Aaro’s path is one of dedication and profound passion for music.\nAs a Transfem Egyptian DJ, music producer, performer and co-founder of\n@adhd_records, Aaro has been crafting her distinct space in the music world since 2011. Her DJ journey started in 2019 and it shows!",https://soundcloud.com/aaro_music,https://soundcloud.com/aaro_music,https://www.instagram.com/aaro_music/;https://open.spotify.com/artist/4LCbZp1uVi9fhpEIYg33Z5?si=FUPal-6kSj-O3G-qQ2JElQ;https://soundcloud.com/aaro_music,https://soundcloud.com/aaro_music,593,"Independent Egyptian DJ & music producer based in Germany.
Co-founder @adhdrecords.
@MaisonLaveaux 
Bookings via email: aaromusic.management @gmail.com
Instagram: @Aaro_music",https://i1.sndcdn.com/avatars-yXQZ5KLnOOw1Subz-kOehsg-large.jpg,,ok,2026-07-11T09:17:17+00:00
Aaron Blau,https://www.wholefestival.com/lineup,"Berlin-based DJ and Cuddles co-founder Aaron Blau moves dance floors with instinct, warmth, and a storyteller’s touch. A dedicated selector, he seamlessly blends rare cuts, overlooked gems, and fresh contemporary music into cohesive, emotionally driven sets. Known for his instinctive energy and a subtle sense of nostalgia, he crafts journeys that are eclectic yet cohesive, queer without cliché, and always sexy. He has appeared at Pornceptual, Gegen, Power Dance Club, SchwuZ and K4 and maintains a residency at Milan’s Vitamina, with mixes contributed to Radiant Records, The Mudd Show, and Smut Press. Photographer: Thomás Eyzaguierre",https://soundcloud.com/aaron-blau,https://soundcloud.com/aaron-blau,https://www.instagram.com/blauaaron/;https://soundcloud.com/aaron-blau,https://soundcloud.com/aaron-blau,360,,https://i1.sndcdn.com/avatars-8OUua60LE4y2NnaY-dfypCA-large.jpg,,ok,2026-07-11T09:17:17+00:00
Acidnena,https://www.wholefestival.com/lineup,"ACIDNENA is an Argentine DJ based in Barcelona, known for her high-energy, genre-fluid sets that move between techno, trance, hard groove, Latin underground, and new rave. A resident at Nitsa Club and part of the queer collective LATINEO, she has become a key figure within the local FLINTA* and migrant scenes. Her trajectory spans clubs, festivals, and underground spaces across Spain and South America, where she delivers powerful, identity driven performances. Photographer: Laradude",,,,,,,,techno; trance; latin,no_soundcloud_link,2026-07-11T09:17:17+00:00
Adam Munnings,https://www.wholefestival.com/lineup,"Adam Munnings is a Tasmanian-born, Berlin-based DJ and creative director known for shaping vibrant queer dance floors. His sound blends house, disco, breakbeat, techno and pop-infused edits, delivering energetic sets built for joy, movement and collective release. Adam began DJing in Tokyo and later lived in New York before settling in Berlin, where he co-founded the influential queer rave Lunchbox Candy. After four years of building its community and global reputation, he now serves as co-founder, creative director and resident DJ of tracey, a new queer-led event series pushing the boundaries of nightlife culture. Photographer: Rod Saad",https://soundcloud.com/adammunnings?ref=clipboard&p=i&c=1&si=B2A40E6689A44B899062C57F509116F8&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://soundcloud.com/adammunnings?ref=clipboard&p=i&c=1&si=B2A40E6689A44B899062C57F509116F8&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://www.instagram.com/adammunnings/;https://soundcloud.com/adammunnings?ref=clipboard&p=i&c=1&si=B2A40E6689A44B899062C57F509116F8&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://soundcloud.com/adammunnings,1081,"Tasmanian born, Berlin based DJ & film maker. Co-founder, creative director & resident Dj at tracey. Co-founder & resident DJ at Lunchbox Candy 2021 - 2025.",https://i1.sndcdn.com/avatars-qwsuAo3fRqSOQtYw-6CO0cQ-large.jpg,techno; house; breakbeat; disco; pop,ok,2026-07-11T09:17:17+00:00
Adira,https://www.wholefestival.com/lineup,"ADIRA is a queer Arabic-pop club night and collective. Founded in 2023 by Lebanese artist Hassandra and Syrian-German DJ xanax_attax, ADIRA is a self-organized club night series that challenges orientalist stereotypes and embraces the diversity of queer Arab* identities. Our mission is to revive the nostalgia of 80’s, 90’s, and early 00’s Arabic-pop music, paying homage to iconic divas like Nawal Al Zoghbi, Haifa Wehbe, and Assala, alongside the unforgettable one-hit wonders from Melody Hits.",https://soundcloud.com/adiraparty,https://soundcloud.com/adiraparty,https://www.instagram.com/adira.party/;https://www.tiktok.com/@adiraparty;https://open.spotify.com/user/31ncmmq6nfp6dquhvqv4cisz3ena?si=81a69083db554f99&nd=1&dlsi=6f43bb605ecd431b;https://soundcloud.com/adiraparty,https://soundcloud.com/adiraparty,189,"سهرة كويرية مع موسيقى البوب العربية.
A queer arabic-pop party in Berlin.",https://i1.sndcdn.com/avatars-iw0zE5blO39AbcrM-dX5Fqw-large.jpg,pop,ok,2026-07-11T09:17:17+00:00
AKA KELZZ,https://www.wholefestival.com/lineup,$23,,,https://www.instagram.com/akakelzz,,,,,,no_soundcloud_link,2026-07-11T09:17:17+00:00
Alex Hawthorn,https://www.wholefestival.com/lineup,"Alex Hawthorn (b. 1986) [they/them] is an artist whose work flows between performance, installation, object-making, and sound-making. Their live performances build emotion through layered soundscapes that slowly morph over time using archival audio, homemade instruments, and live electronics.These are long, evolving sets that can unfold over multiple hours.",,,https://www.instagram.com/alexhawthorn.studio/;https://alexhawthorn.bandcamp.com/;https://alexhawthorn.com/,,,,,,no_soundcloud_link,2026-07-11T09:17:17+00:00
Alírio,https://www.wholefestival.com/lineup,"Alírio is a Brazilian DJ and producer, a dynamic and ever-evolving force in the electronic music scene. Her sound moves fluidly across genres, delivering high-energy sets infused with hypnotic rhythms and a raw, sensual edge. With a strong focus on Latin American productions, she explores bass-driven and percussive elements in vibrant and innovative ways. Alírio is a resident of the renowned Mamba Negra collective (São Paulo) and a resident DJ at SEXTOU (London). She has also performed at key events across Brazil, including Gop Tun Festival (São Paulo) and Kode (Rio de Janeiro). Since 2024, she has performed internationally at venues and festivals including NYC (Basement, Nowadays), Germany (Whole Festival, Fusion Festival, Tresor, Herrensauna, Pornceptual), Barcelona (Sala Apolo, Razzmatazz), Lisbon (Planeta Manas, Outra Cena), London (Club Stamina), Netherlands (Draaimolen, Club Raum), Brussels (Horst), Bogotá (Video Club), and Buenos Aires (Deseo, 999). She is also the co-founder of Tandera Records, a multidisciplinary label highlighting boundary-pushing electronic music by some of today’s most inventive artists from Brazil and beyond. Photographer: ivimaigabugrimenko",https://soundcloud.com/a_lirio,https://soundcloud.com/a_lirio,https://www.instagram.com/alirio_____/?hl=en;https://soundcloud.com/a_lirio,https://soundcloud.com/a_lirio,3854,"✰ brazilian cuntcore ✰
bookings
brazil/latam: fernando@smartbiz.com.br
europe: eloisa@sentimentalvoices.com",https://i1.sndcdn.com/avatars-kHWursDUxcZ1f43H-jc6WuA-large.jpg,bass; latin,ok,2026-07-11T09:17:17+00:00
AMARI,https://www.wholefestival.com/lineup,Photographer: @ragebait.ing,,,,,,,,,no_soundcloud_link,2026-07-11T09:17:17+00:00
